Voltage(V),chargeCapacity,Current(A),Temperature (C)_1,Temperature (C)_2
3.600762844,0.039577007,0.048705041,30.45716858,30.01103783
3.601070404,0.039625378,0.047950335,30.42670059,30.08575439
3.601070404,0.039672971,0.047195628,30.45716858,30.01103783
3.600762844,0.039719678,0.046629597,30.45716858,30.05527496
3.601070404,0.039766051,0.04587489,30.3962307,30.12998962
3.600762844,0.039811701,0.045308858,30.44024086,30.02479553
3.600455046,0.039856738,0.044554152,30.47070503,30.05527496
3.600762844,0.039901127,0.043799445,30.3962307,29.9943161
3.600762844,0.039944865,0.043233417,30.44024086,30.02479553
3.601070404,0.039988288,0.042667385,30.47070503,30.09951019
3.600762844,0.040031004,0.042101353,30.33529472,30.03855705
3.601070404,0.040073141,0.041535325,30.33529472,30.06903458
3.601070404,0.040114836,0.040780619,30.48424911,30.11327171
3.600762844,0.040155901,0.040214587,30.48424911,30.03855705
3.600762844,0.040196688,0.039837234,30.48424911,30.26268959
3.601070404,0.040237019,0.039271202,30.48424911,30.18798447
3.600762844,0.040276845,0.038705174,30.45378685,30.15751457
3.601070404,0.040316186,0.038327821,30.45378685,30.11327171
3.600762844,0.040355006,0.037761789,30.45378685,30.12704277
3.601070404,0.040393287,0.037195761,30.42332458,30.27645493
3.600762844,0.040431243,0.036818407,30.49779701,30.27645493
3.601070404,0.04046885,0.036063697,30.39286041,30.20175171
3.601070404,0.040505913,0.035875022,30.46733475,30.17127991
3.600762844,0.040542675,0.035308991,30.54180527,30.24598694
3.601070404,0.040579018,0.034931637,30.45042229,30.36491966
3.601070404,0.04061507,0.034554284,30.37594604,30.07986641
3.601378202,0.040650667,0.034176931,30.45042229,30.15457916
3.601070404,0.040685896,0.033422224,30.37594604,30.12410927
3.601070404,0.040720735,0.033233546,30.46397591,30.27352524
3.601070404,0.040755171,0.033044871,30.35904121,30.34822464
3.601070404,0.040789222,0.032478839,30.46397591,30.31776047
3.601070404,0.040822972,0.031912811,30.38950157,30.27352524
3.601070404,0.040856403,0.031724133,30.38950157,30.34822464
3.601378202,0.040889493,0.031346779,30.38950157,30.2872982
3.600762844,0.040922174,0.030969426,30.46397591,30.2872982
3.601070404,0.040954705,0.030780749,30.32858086,30.39245605
3.601070404,0.040986789,0.030403396,30.40306091,30.31776047
3.600762844,0.041018602,0.030026043,30.5079937,30.3619957
3.601070404,0.041050133,0.02964869,30.43351936,30.33153725
3.601070404,0.041081263,0.029271336,30.2981205,30.25683594
3.601070404,0.041112304,0.02908266,30.40306091,30.33153725
3.600762844,0.041142929,0.028705304,30.37260246,30.3619957
3.601070404,0.041173233,0.028327951,30.44708061,30.30107498
3.600762844,0.041203286,0.028139275,30.44708061,30.30107498
3.601070404,0.041233114,0.027950598,30.37260246,30.33153725
3.601070404,0.041262707,0.027573245,30.34214592,30.40623283
3.600762844,0.041292042,0.027195891,30.44708061,30.30107498
3.601070404,0.041321096,0.027195891,30.52155304,30.34531593
3.600762844,0.041349883,0.026818538,30.44708061,30.30107498
3.601070404,0.041378422,0.026629861,30.37260246,30.34531593
3.600762844,0.041406693,0.026252508,30.41662407,30.42001152
3.601070404,0.041434727,0.02606383,30.41662407,30.34531593
3.601070404,0.041462538,0.025686476,30.38617134,30.49469948
3.600762844,0.041490133,0.025309123,30.41662407,30.42001152
3.600762844,0.041517507,0.025309123,30.41662407,30.42001152
